n,m,k,val,t_sol,t
50,2,5,234.26,1472.967675,1800.000757
50,2,5,291.085,1645.902246,1800.000384
50,2,5,302.8,24.786381,1800.000477
50,2,5,303.629,572.593214,1800.000793
50,2,5,306.28,915.30328,1800.000123
50,2,5,321.545,1327.833661,1800.000327
50,2,5,362.955,1399.20658,1800.000051
50,2,5,381.13,1010.37391,1800.000026
50,2,5,399.01,1376.932658,1800.00003
50,2,5,483.143,1156.215556,1800.000223
50,5,5,9848.17,115.823488,1800.001171
50,5,5,10283.582,920.128429,1800.000706
50,5,5,11243.357,1078.967851,1800.000472
50,5,5,12297.265,1046.771482,1800.000147
50,5,5,12612.497,1747.391201,1800.00045
50,5,5,13161.311,1761.240628,1800.000597
50,5,5,13295.305,984.550926,1800.000487
50,5,5,13443.216,616.450639,1800.000143
50,5,5,14048.613,1308.226332,1800.001737
50,5,5,14484.211,972.475319,1800.001828
50,10,5,42785.157,271.994275,1800.00267
50,10,5,43539.5,1338.028196,1800.000259
50,10,5,44528.923,43.264033,1800.002629
50,10,5,45305.252,202.516166,1800.000335
50,10,5,45820.321,731.044808,1800.000419
50,10,5,45878.739,730.632312,1800.000093
50,10,5,46671.768,828.750402,1800.000256
50,10,5,47814.122,719.732404,1800.001773
50,10,5,48246.695,600.291316,1800.000839
50,10,5,48352.941,869.961756,1800.000754
50,20,5,91302.558,462.86384,1800.003018
50,20,5,91922.476,740.476719,1800.001358
50,20,5,93710.87,179.491207,1800.000685
50,20,5,94104.473,859.397606,1800.001832
50,20,5,95587.175,1358.091258,1800.001202
50,20,5,96204.958,480.526083,1800.000124
50,20,5,96358.663,315.201332,1800.003378
50,20,5,96970.539,429.561518,1800.001835
50,20,5,97051.171,1268.702398,1800.000711
50,20,5,97254.144,954.312933,1800.001614
50,2,10,2223.877,661.125913,1800.000986
50,2,10,2347.58,183.485603,1800.000913
50,2,10,2421.748,1688.819531,1800.005053
50,2,10,2547.954,897.015411,1800.0007
50,2,10,2639.963,621.992718,1800.000579
50,2,10,2738.105,543.973302,1800.001081
50,2,10,2768.374,582.74278,1800.000933
50,2,10,2970.613,1023.158698,1800.002076
50,2,10,3044.808,1146.160626,1800.000469
50,2,10,3121.766,1165.452283,1800.001472
50,5,10,25681.988,378.854252,1800.001515
50,5,10,26323.256,893.040512,1800.003701
50,5,10,26375.37,156.304512,1800.003074
50,5,10,26526.131,844.906064,1800.00048
50,5,10,26898.124,743.352019,1800.00426
50,5,10,27121.669,1235.708808,1800.007349
50,5,10,27529.389,963.276217,1800.000605
50,5,10,27891.424,811.004278,1800.001476
50,5,10,28013.029,1010.11001,1800.000759
50,5,10,28823.005,700.086672,1800.00043
50,10,10,60469.856,1425.711663,1800.002534
50,10,10,62037.284,541.000061,1800.000264
50,10,10,62940.699,1011.644523,1800.003898
50,10,10,63091.457,650.79023,1800.002516
50,10,10,63091.873,1616.839898,1800.000701
50,10,10,63992.969,587.883689,1800.01387
50,10,10,65484.819,1007.500814,1800.000041
50,10,10,65893.508,902.43755,1800.005618
50,10,10,66691.639,692.56075,1800.000111
50,10,10,66888.171,1657.718579,1800.003659
50,20,10,102855.868,328.402619,1800.009844
50,20,10,103883.896,1559.127323,1800.006292
50,20,10,105611.298,377.467515,1800.007453
50,20,10,106204.715,1195.959447,1800.010084
50,20,10,106239.704,1128.446411,1800.001725
50,20,10,106492.211,1099.775753,1800.007494
50,20,10,106856.734,990.5839,1800.000418
50,20,10,106980.846,1400.003502,1800.008232
50,20,10,108953.069,1690.755245,1800.008508
50,20,10,109548.879,1227.008168,1800.007749
50,2,20,12343.782,8.626117,1800.005655
50,2,20,12343.782,47.260178,1800.002033
50,2,20,12343.782,222.835813,1800.00312
50,2,20,12343.782,874.891696,1800.007216
50,2,20,12343.782,1275.184083,1800.003501
50,2,20,12343.782,224.024676,1800.006018
50,2,20,12343.782,434.679167,1800.022967
50,2,20,12343.782,189.313845,1800.018999
50,2,20,12343.782,234.769944,1800.01554
50,2,20,12343.782,177.274573,1800.00298
50,5,20,61199.457,757.751961,1800.012149
50,5,20,61285.923,1131.890122,1800.016003
50,5,20,61342.729,1456.540241,1800.016653
50,5,20,61486.904,485.794479,1800.0026
50,5,20,62299.675,1112.041113,1800.002483
50,5,20,62523.892,610.293004,1800.004523
50,5,20,62629.053,347.92183,1800.004585
50,5,20,62825.166,1275.908126,1800.00032
50,5,20,63705.16,348.68951,1800.012859
50,5,20,63705.16,662.067658,1800.007907
50,10,20,96735.783,544.264454,1800.015041
50,10,20,98060.059,225.629682,1800.035219
50,10,20,98060.059,387.475824,1800.03446
50,10,20,98074.533,1702.83985,1800.038815
50,10,20,98276.814,485.099579,1800.013475
50,10,20,98688.137,1150.129662,1800.000788
50,10,20,98688.137,1362.29871,1800.009547
50,10,20,98688.137,898.556514,1800.047295
50,10,20,98977.494,1040.249928,1800.018509
50,10,20,99231.94,863.027813,1800.000366
50,20,20,124955.914,1750.978694,1800.062596
50,20,20,125396.233,1458.859716,1800.053542
50,20,20,126115.26,748.277018,1800.006313
50,20,20,126231.372,189.349505,1800.034412
50,20,20,127162.951,484.377846,1800.022127
50,20,20,128378.901,1600.132351,1800.023923
50,20,20,128996.391,1534.916331,1800.047298
50,20,20,129304.535,1440.82817,1800.033771
50,20,20,129773.523,1778.730054,1800.001737
50,20,20,130132.847,1539.230705,1800.092978
100,2,5,27.617,1261.486605,1800.00183
100,2,5,49.312,1151.755932,1800.002098
100,2,5,62.805,1752.143649,1800.00156
100,2,5,71.897,1319.61598,1800.002184
100,2,5,76.318,1797.814317,1800.000893
100,2,5,81.25,1494.806392,1800.004115
100,2,5,83.18,1605.660164,1800.001769
100,2,5,92.638,1742.324681,1800.002078
100,2,5,97.956,1795.615687,1800.000634
100,2,5,106.969,1640.634737,1800.000123
100,5,5,6791.445,1130.812714,1800.001038
100,5,5,7785.612,1182.732555,1800.002665
100,5,5,7895.306,1313.363836,1800.001643
100,5,5,8417.371,1447.971467,1800.002551
100,5,5,8453.315,1679.54245,1800.001746
100,5,5,8918.054,1732.419106,1800.006157
100,5,5,9516.928,1159.237087,1800.001947
100,5,5,9525.418,1607.885614,1800.001751
100,5,5,9941.837,1495.070561,1800.002059
100,5,5,10214.898,1704.684595,1800.003422
100,10,5,34550.736,746.529934,1800.00002
100,10,5,35176.237,1466.591263,1800.003644
100,10,5,37816.318,1529.497455,1800.001626
100,10,5,39111.604,1405.716161,1800.004691
100,10,5,39175.553,1590.351358,1800.00317
100,10,5,39857.561,1754.572221,1800.006343
100,10,5,40243.424,1167.36117,1800.004963
100,10,5,40867.354,1194.173303,1800.003412
100,10,5,41183.9,1155.443211,1800.00617
100,10,5,43269.95,379.139931,1800.003013
100,20,5,87700.816,167.99655,1800.005903
100,20,5,88293.757,1140.33612,1800.005492
100,20,5,88347.597,1598.981438,1800.009356
100,20,5,88373.46,1044.596326,1800.000241
100,20,5,88478.757,228.575495,1800.004985
100,20,5,90387.73,138.390029,1800.008013
100,20,5,90605.22,1304.784478,1800.002379
100,20,5,91303.783,276.793611,1800.007239
100,20,5,91514.659,1049.818457,1800.003264
100,20,5,92756.096,187.563424,1800.000121
100,2,10,531.633,1521.217244,1800.010779
100,2,10,601.425,994.825938,1800.004836
100,2,10,671.764,1404.901264,1800.001186
100,2,10,745.06,1265.974109,1800.003547
100,2,10,834.335,1463.487117,1800.015934
100,2,10,838.132,1128.516662,1800.011508
100,2,10,872.484,1670.030176,1800.006443
100,2,10,891.535,1761.00679,1800.00771
100,2,10,931.972,1415.045073,1800.009055
100,2,10,1043.514,1081.993672,1800.000792
100,5,10,18922.63,1542.340704,1800.021348
100,5,10,19241.659,1522.508519,1800.017661
