n,m,k,val,t_sol,t
50,2,5,224.85,504.809735,1800.000355
50,2,5,245.602,1279.213786,1800.000019
50,2,5,305.627,747.87929,1800.000015
50,2,5,316.885,135.235986,1800.000199
50,2,5,366.402,617.56077,1800.000069
50,2,5,368.505,1714.164096,1800.00025
50,2,5,407.979,838.699523,1800.000562
50,2,5,446.816,1461.591305,1800.000051
50,2,5,497.552,1771.826761,1800.000282
50,2,5,554.746,67.672349,1800.000056
50,5,5,11715.24,1694.170289,1800.00048
50,5,5,12206.3,1141.036797,1800.00146
50,5,5,12858.481,272.21552,1800.000205
50,5,5,13768.31,1014.435071,1800.000675
50,5,5,14665.569,910.102078,1800.000033
50,5,5,14848.503,796.636441,1800.000306
50,5,5,15751.414,348.433211,1800.000639
50,5,5,15881.541,1200.070856,1800.000328
50,5,5,15902.652,221.282203,1800.000491
50,5,5,16960.038,1045.020999,1800.001183
50,10,5,42567.064,429.976999,1800.000269
50,10,5,46514.418,1270.495225,1800.000732
50,10,5,47962.951,298.411082,1800.000729
50,10,5,49371.782,842.270659,1800.002109
50,10,5,50063.204,804.856396,1800.000077
50,10,5,50341.479,592.450967,1800.001763
50,10,5,50880.64,1135.956719,1800.000043
50,10,5,51592.574,214.010874,1800.000917
50,10,5,51646.292,1745.225207,1800.000068
50,10,5,52265.601,429.829175,1800.000318
50,20,5,90165.285,274.008039,1800.000974
50,20,5,95636.745,52.303193,1800.000785
50,20,5,96305.43,1191.669645,1800.002248
50,20,5,97155.455,903.440714,1800.001708
50,20,5,100227.801,69.7278,1800.000121
50,20,5,100516.531,2.477713,1800.001072
50,20,5,100713.533,139.207152,1800.000128
50,20,5,100887.186,830.84178,1800.000261
50,20,5,101194.425,652.681523,1800.001011
50,20,5,102265.768,7.830927,1800.000769
50,2,10,2006.515,764.355822,1800.004753
50,2,10,2416.528,434.599122,1800.000598
50,2,10,2504.863,688.19367,1800.003826
50,2,10,2522.265,1389.98459,1800.000047
50,2,10,2652.198,1256.502216,1800.000732
50,2,10,2663.713,1531.518664,1800.003875
50,2,10,2958.818,1666.982743,1800.003645
50,2,10,3073.882,841.761476,1800.00063
50,2,10,3079.641,771.015504,1800.000234
50,2,10,3225.494,38.012188,1800.002628
50,5,10,27023.583,230.289262,1800.001249
50,5,10,29306.968,1351.486371,1800.001238
50,5,10,29938.082,123.812804,1800.001968
50,5,10,29942.632,179.281362,1800.000259
50,5,10,30010.502,344.919718,1800.000057
50,5,10,30420.555,109.725891,1800.002443
50,5,10,30934.236,369.220287,1800.0014
50,5,10,31191.71,46.720883,1800.00003
50,5,10,31812.394,1112.81715,1800.001268
50,5,10,32331.295,334.353154,1800.000316
50,10,10,66004.843,597.521861,1800.005336
50,10,10,66015.988,1029.032715,1800.000251
50,10,10,67434.231,91.067473,1800.008038
50,10,10,68224.197,1748.433337,1800.004597
50,10,10,69392.014,55.006134,1800.003766
50,10,10,69616.472,178.121415,1800.009753
50,10,10,70261.7,324.28639,1800.000458
50,10,10,70283.271,68.665646,1800.0067
50,10,10,72364.386,17.483665,1800.002952
50,10,10,74027.281,126.280955,1800.000663
50,20,10,109155.665,1229.368493,1800.003771
50,20,10,110408.598,1649.748697,1800.00059
50,20,10,111076.402,1121.762484,1800.007867
50,20,10,112404.833,1261.415841,1800.006599
50,20,10,112443.255,118.319421,1800.005559
50,20,10,113248.128,1640.501519,1800.00432
50,20,10,114464.467,1166.707793,1800.009778
50,20,10,114599.169,706.884454,1800.004935
50,20,10,114671.257,1014.838169,1800.000526
50,20,10,118228.127,999.249959,1800.00493
50,2,20,16545.145,24.351907,1800.009511
