n,m,k,val,t_sol,t
50,2,5,231.955,1392.325625,1800.000848
50,2,5,246.032,1408.103448,1800.000431
50,2,5,303.687,1285.817023,1800.000886
50,2,5,315.284,819.302928,1800.000917
50,2,5,321.604,1719.801458,1800.000356
50,2,5,342.649,1444.172968,1800.000226
50,2,5,378.986,1691.206403,1800.000091
50,2,5,396.144,825.2764,1800.000077
50,2,5,420.149,1427.96855,1800.00015
50,2,5,469.434,1386.598956,1800.00004
50,5,5,11777.376,1646.777008,1800.00101
50,5,5,12921.819,1326.644217,1800.000715
50,5,5,13481.462,869.220819,1800.000226
50,5,5,13667.433,654.248974,1800.000334
50,5,5,13732.469,660.608374,1800.000872
50,5,5,14450.773,1278.33108,1800.000444
50,5,5,15185.818,1103.224149,1800.000054
50,5,5,15421.521,1214.811643,1800.000731
50,5,5,15707.904,927.910623,1800.000019
50,5,5,16301.214,886.32999,1800.000101
50,10,5,45945.591,888.96804,1800.0012
50,10,5,46528.864,578.041586,1800.000079
50,10,5,47501.291,914.827229,1800.00036
50,10,5,47958.456,263.076409,1800.00001
50,10,5,48081.751,128.59881,1800.000598
50,10,5,49709.495,867.989769,1800.001198
50,10,5,50101.602,864.81715,1800.001056
50,10,5,50304.951,397.146358,1800.001451
50,10,5,52408.28,925.755452,1800.000118
50,10,5,54313.537,1144.684201,1800.001148
50,20,5,96529.735,413.793464,1800.000118
50,20,5,98368.169,355.943021,1800.000009
50,20,5,98772.462,438.487698,1800.000157
50,20,5,99712.599,571.2565,1800.001394
50,20,5,101005.3,1715.019077,1800.000541
50,20,5,101189.049,1371.285962,1800.000236
50,20,5,101231.707,836.461673,1800.000705
50,20,5,103282.29,702.661039,1800.000783
50,20,5,104569.506,1588.303382,1800.001121
50,20,5,105295.01,1175.93029,1800.002736
50,2,10,1700.291,1317.588422,1800.000107
50,2,10,2196.328,1154.33118,1800.000377
50,2,10,2237.198,1345.013346,1800.000463
50,2,10,2336.072,1292.780534,1800.002976
50,2,10,2358.419,1325.971232,1800.001432
50,2,10,2378.237,1002.67226,1800.001782
50,2,10,2500.254,1728.898436,1800.000555
50,2,10,2504.38,799.122367,1800.000018
50,2,10,2819.57,1389.983896,1800.00095
50,2,10,3042.978,1009.33246,1800.000087
50,5,10,26916.958,412.943163,1800.003173
50,5,10,27462.24,973.122939,1800.002393
50,5,10,28433.94,1570.126993,1800.001018
50,5,10,28623.052,1516.569437,1800.001243
50,5,10,29727.423,1569.232173,1800.001316
50,5,10,30236.623,1242.738308,1800.002364
50,5,10,30398.718,1610.148381,1800.002271
50,5,10,30925.596,596.268767,1800.003239
50,5,10,31488.696,716.699863,1800.003942
50,5,10,34408.945,1026.40587,1800.003603
50,10,10,66095.489,556.321819,1800.008721
50,10,10,66693.564,509.178933,1800.003797
50,10,10,67400.052,722.186582,1800.004743
50,10,10,68216.762,1523.793106,1800.000227
50,10,10,70066.688,1125.896814,1800.006294
50,10,10,70804.282,1753.4092,1800.004143
50,10,10,71407.88,602.354235,1800.000161
50,10,10,71969.351,889.015718,1800.002213
50,10,10,72285.17,660.205643,1800.00056
50,10,10,72540.362,344.544871,1800.003647
50,20,10,109462.612,1054.78238,1800.002341
50,20,10,112350.208,618.444548,1800.001689
50,20,10,113303.872,1408.637025,1800.000261
50,20,10,114821.287,1191.623716,1800.004775
50,20,10,114920.377,386.661195,1800.000243
50,20,10,115113.074,190.139187,1800.0034
50,20,10,115387.117,938.18936,1800.000274
50,20,10,116592.721,1028.563596,1800.006604
50,20,10,117002.008,1472.07229,1800.008807
50,20,10,118852.211,909.279114,1800.004891
50,2,20,24539.495,26.604086,1800.002592
50,2,20,24539.495,305.083565,1800.004858
50,2,20,24539.495,135.010669,1800.001893
50,2,20,24539.495,77.047385,1800.006691
50,2,20,24539.495,10.122002,1800.008033
50,2,20,24539.495,1561.1096,1800.000241
50,2,20,24539.495,158.351061,1800.002045
50,2,20,24539.495,125.31807,1800.005796
50,2,20,24539.495,491.552684,1800.009107
50,2,20,24539.495,66.648614,1800.012274
50,5,20,57875.992,193.230545,1800.018374
50,5,20,57875.992,1074.602005,1800.047283
50,5,20,57888.525,1050.950453,1800.012346
50,5,20,57888.525,719.428311,1800.004347
50,5,20,58046.686,983.263739,1800.013864
50,5,20,58046.686,1088.362897,1800.004475
50,5,20,58187.313,952.419562,1800.000254
50,5,20,58766.059,760.147056,1800.012522
50,5,20,58834.367,1519.504655,1800.008232
50,5,20,58995.641,1717.883713,1800.007439
50,10,20,97730.725,690.676263,1800.047481
50,10,20,97941.307,974.637859,1800.002441
50,10,20,97941.307,1734.43015,1800.003275
50,10,20,97941.307,1526.392752,1800.006945
50,10,20,98249.787,1428.719899,1800.046156
50,10,20,99468.081,526.356718,1800.012435
50,10,20,99531.932,1629.717929,1800.081695
50,10,20,100812.643,1260.487067,1800.018155
50,10,20,101185.395,1342.530504,1800.000041
50,10,20,101826.691,1502.092021,1800.014687
50,20,20,131195.232,1040.356767,1800.106689
50,20,20,131534.095,1247.80567,1800.038066
50,20,20,131669.35,1053.758572,1800.009888
50,20,20,131677.633,920.051903,1800.004868
50,20,20,131746.037,1059.57048,1800.019818
50,20,20,131788.377,1283.181444,1800.163107
50,20,20,132484.902,1213.603303,1800.009878
50,20,20,133555.061,595.045835,1800.037932
50,20,20,133911.094,1781.133389,1800.086853
50,20,20,133999.387,921.125451,1800.014493
100,2,5,52.519,1618.097987,1800.001846
100,2,5,58.742,1486.419189,1800.000653
100,2,5,68.074,1508.318601,1800.000671
100,2,5,79.484,1471.982054,1800.001553
100,2,5,91.543,1767.944265,1800.00105
100,2,5,100.055,1628.959699,1800.00013
100,2,5,115.679,1451.060821,1800.003442
100,2,5,125.157,1042.937423,1800.002538
100,2,5,139.127,1661.259501,1800.000343
100,2,5,154.477,1719.999867,1800.00121
100,5,5,7581.544,861.960025,1800.000229
100,5,5,8297.458,1529.30908,1800.001573
100,5,5,8436.707,1719.698372,1800.000124
100,5,5,8480.117,1607.026152,1800.00664
100,5,5,8486.613,1461.766717,1800.001873
100,5,5,9172.074,1720.021033,1800.001409
100,5,5,9357.547,1312.550315,1800.000861
100,5,5,9419.404,1199.952483,1800.002963
100,5,5,9815.747,1783.357355,1800.001969
100,5,5,9820.456,1498.170376,1800.006272
100,10,5,35799.157,879.414158,1800.006832
100,10,5,37912.641,1399.117897,1800.00286
100,10,5,39085.052,1411.066074,1800.000076
100,10,5,39872.478,1140.613426,1800.0023
100,10,5,40268.686,1438.603297,1800.002074
100,10,5,41311.715,1489.25999,1800.004165
100,10,5,42025.804,1295.295361,1800.001026
100,10,5,42862.369,1652.469575,1800.004885
100,10,5,44085.129,1405.242664,1800.003193
100,10,5,44918.91,1603.13433,1800.000027
100,20,5,84603.284,421.221147,1800.004176
100,20,5,85466.318,619.464206,1800.005608
100,20,5,86626.452,1710.835952,1800.002282
100,20,5,87648.702,1738.795247,1800.001054
100,20,5,88826.397,1176.052472,1800.000061
100,20,5,90002.793,966.177001,1800.001244
100,20,5,90958.12,1503.406554,1800.004886
100,20,5,92930.113,908.545004,1800.000785
100,20,5,94834.574,732.326385,1800.002732
100,20,5,95918.914,949.043544,1800.000855
100,2,10,640.608,1333.461845,1800.005121
100,2,10,754.307,1205.816763,1800.005128
100,2,10,856.751,1125.036215,1800.011896
100,2,10,871.987,1329.452138,1800.005928
100,2,10,962.387,1505.424269,1800.000197
100,2,10,1003.234,1681.774947,1800.000243
100,2,10,1026.609,1275.460729,1800.007365
100,2,10,1041.101,1786.484282,1800.01335
100,2,10,1061.501,1297.663791,1800.002222
100,2,10,1098.713,1310.934176,1800.008477
100,5,10,19418.315,1619.712992,1800.025151
100,5,10,19755.85,1578.304209,1800.023558
100,5,10,20250.149,1380.912856,1800.000378
100,5,10,20544.939,1335.764366,1800.028537
100,5,10,20594.266,1174.621955,1800.002597
100,5,10,20626.83,1726.238935,1800.010605
100,5,10,21449,1365.580622,1800.000763
100,5,10,21613.933,1677.358258,1800.018651
100,5,10,21651.884,1660.527036,1800.019335
100,5,10,22241.08,1647.069548,1800.0253
100,10,10,57088.345,1506.479037,1800.026539
100,10,10,58629.138,1454.700847,1800.007893
100,10,10,59686.955,1719.928095,1800.074856
100,10,10,60015.245,1422.36636,1800.017328
100,10,10,61028.515,1138.51086,1800.002991
100,10,10,61198.818,1347.808745,1800.034568
100,10,10,61414.446,1749.355273,1800.012078
100,10,10,64316.408,1338.764445,1800.002362
100,10,10,64823.322,1361.011129,1800.006734
100,10,10,66518.985,1616.602958,1800.005245
100,20,10,106648.979,1312.295311,1800.007545
100,20,10,110478.165,1730.535403,1800.080217
100,20,10,110595.931,1430.102188,1800.011735
100,20,10,111120.284,1288.3023,1800.028138
100,20,10,112832.363,1617.891406,1800.005324
100,20,10,113055.633,1236.106061,1800.034525
100,20,10,114860.844,1591.765658,1800.019964
100,20,10,116323.267,1153.587119,1800.009426
100,20,10,117485.965,1445.563226,1800.008454
100,20,10,118522.286,998.967382,1800.047903
100,2,20,3196.846,1491.275876,1800.004845
100,2,20,3251.859,652.905649,1800.050176
100,2,20,3527.365,1590.884245,1800.086236
100,2,20,3558.188,1761.893821,1800.051671
100,2,20,3642.976,1711.382501,1800.000659
100,2,20,3795.165,1478.737369,1800.009245
100,2,20,3826.803,1602.281919,1800.02325
100,2,20,4040.726,1338.243035,1800.013699
100,2,20,4105.984,1678.7779,1800.038707
100,2,20,4259.743,1542.255874,1800.003248
100,5,20,32126.822,1376.648924,1800.25933
100,5,20,33234.741,519.202131,1800.007451
100,5,20,33504.442,1749.181847,1800.01981
100,5,20,34512.774,1789.474251,1800.016484
100,5,20,34572.839,1215.911795,1800.005906
100,5,20,34762.323,1477.179909,1800.132575
100,5,20,36187.497,1759.452158,1800.050807
100,5,20,36790.045,1474.167702,1800.057477
100,5,20,37939.517,1435.413449,1800.109374
100,5,20,38004.759,1735.718212,1800.034448
100,10,20,74850.766,1665.148556,1800.19711
100,10,20,75934.842,1646.636704,1800.021691
100,10,20,76167.826,1513.688746,1800.399429
100,10,20,76190.594,1454.710517,1800.137419
100,10,20,76809.218,1661.748557,1800.258047
100,10,20,77753.551,1409.707947,1800.190024
100,10,20,78887.928,1315.665205,1800.007561
100,10,20,79296.391,1317.790447,1800.042416
100,10,20,79478.133,1452.495268,1800.091755
100,10,20,79909.955,1595.295249,1800.012112
100,20,20,122058.181,1092.151406,1800.207246
100,20,20,122159.194,990.257386,1800.148244
100,20,20,122898.234,1584.058019,1800.196331
100,20,20,124124.353,1688.162326,1800.31997
100,20,20,124270.587,1650.840405,1800.027989
100,20,20,124649.663,1770.493739,1800.056886
100,20,20,124849.903,1681.033548,1800.224436
100,20,20,126635.334,1574.365049,1800.245163
100,20,20,126879.085,1578.119204,1800.247141
100,20,20,127174.232,1774.488482,1800.122768
500,2,5,53.07,650.058971,1800.007745
500,2,5,60.919,929.57915,1800.015674
500,2,5,70.808,1078.909443,1800.018322
500,2,5,72.409,1431.745274,1800.024041
500,2,5,73.565,1567.119568,1800.022032
500,2,5,78.039,1790.961449,1800.056225
500,2,5,87.403,1546.631123,1800.099236
500,2,5,91.265,1555.519163,1800.037491
500,2,5,96.437,1109.808546,1800.000137
500,2,5,105.272,1423.827135,1800.091617
500,5,5,5689.986,1241.912462,1800.093122
500,5,5,5756.428,1452.641915,1800.029301
500,5,5,5772.228,1688.373878,1800.040446
500,5,5,6303.036,1414.951141,1800.060819
500,5,5,6540.986,1762.467312,1800.045118
500,5,5,7042.445,1647.518305,1800.030516
500,5,5,7234.335,1498.863708,1800.089126
500,5,5,7546.307,1359.285361,1800.014805
500,5,5,7798.336,1647.897859,1800.143486
500,5,5,8045.777,1049.548048,1800.042701
500,10,5,25397.827,42.660259,1800.154077
500,10,5,30566.267,884.74132,1800.107133
500,10,5,31177.932,1749.231309,1800.02712
500,10,5,31446.96,1771.914573,1800.072042
500,10,5,31717.234,1333.943106,1800.146669
500,10,5,32047.851,1759.233343,1800.014561
500,10,5,32180.185,1463.25028,1800.051056
500,10,5,33099.143,1044.656422,1800.043341
500,10,5,33129.639,511.023252,1800.100526
500,10,5,34191.969,890.653601,1800.235139
500,20,5,76097.496,574.261144,1800.16938
500,20,5,77701.133,913.728555,1800.130848
500,20,5,78757.712,1592.9843,1800.058406
500,20,5,79071.384,1625.151295,1800.009999
500,20,5,80026.181,1225.942916,1800.026939
500,20,5,80159.022,1303.121863,1800.309631
500,20,5,80844.914,1336.66263,1800.001474
500,20,5,80984.752,1704.839405,1800.148943
500,20,5,81613.157,1447.422268,1800.045071
500,20,5,83025.566,1786.365708,1800.030844
500,2,10,356.602,1516.386833,1800.431298
500,2,10,379.039,1667.601939,1800.349371
500,2,10,396.157,1629.417975,1800.060447
500,2,10,405.385,1433.460047,1800.23164
500,2,10,413.089,1603.53701,1800.248674
500,2,10,425.363,897.31826,1800.075419
500,2,10,450.012,1765.658591,1800.155262
500,2,10,472.42,1292.441074,1800.443801
500,2,10,475.995,1618.059316,1800.087733
500,2,10,482.299,1641.7644,1800.002564
500,5,10,13120,1090.301847,1800.910635
500,5,10,13922.174,1065.431469,1800.408487
500,5,10,13940.218,1504.392626,1800.636151
500,5,10,14143.536,1485.393675,1800.120612
500,5,10,14327.003,1092.930515,1800.074957
500,5,10,14328.048,197.05272,1800.166903
500,5,10,14397.522,1151.244422,1800.435863
500,5,10,14697.102,1191.648601,1800.822226
500,5,10,14760.409,1141.775752,1800.0881
500,5,10,15062.247,1231.906171,1800.920429
500,10,10,45117.501,1784.531023,1800.212045
500,10,10,46460.079,1183.377512,1800.943333
500,10,10,47272.979,1008.535425,1800.679906
500,10,10,47885.981,1518.392104,1800.922387
500,10,10,47939.775,1097.136392,1800.786583
500,10,10,48245.092,1500.041239,1800.423417
500,10,10,49335.775,1773.507282,1800.859547
500,10,10,49661.391,1198.86004,1800.007654
500,10,10,50104.635,1197.489133,1800.948419
500,10,10,50165.922,1391.984916,1800.533012
500,20,10,101081.508,598.872896,1800.393625
500,20,10,104131.424,1660.409596,1800.245252
500,20,10,105681.226,1581.498256,1800.316435
500,20,10,105753.111,1295.105359,1800.204394
500,20,10,105758.783,1058.312559,1801.171359
500,20,10,107413.286,1383.127346,1804.624838
500,20,10,107523.376,1188.114034,1800.42756
500,20,10,107710.239,1306.123867,1800.458315
500,20,10,108059.921,1049.251375,1800.104162
500,20,10,108709.694,1800.032058,1800.032059
500,2,20,907.933,1455.336841,1801.460669
500,2,20,1020.384,1145.704308,1800.809697
500,2,20,1059.347,1157.737806,1800.15129
500,2,20,1073.708,1743.31865,1801.429357
500,2,20,1074.379,1730.533839,1802.230176
500,2,20,1128.361,1224.485016,1800.492351
500,2,20,1139.567,1140.947429,1801.82131
500,2,20,1148.171,1082.87451,1800.871471
500,2,20,1157.608,1375.915473,1801.966085
500,2,20,1282.361,1201.153884,1800.071169
500,5,20,20108.225,673.06616,1800.552281
500,5,20,20313.25,726.844191,1801.287751
500,5,20,20420.63,1466.810761,1807.942237
500,5,20,20846.721,1762.531798,1800.066926
500,5,20,20951.412,1777.838171,1802.157376
