n,m,k,val,t_sol,t
50,2,5,219.983,896.1836,1800.00037
50,2,5,237.736,1096.34459,1800.000028
50,2,5,255.649,901.738773,1800.000104
50,2,5,266.85,1768.240286,1800.000121
50,2,5,293.442,1317.635959,1800.000279
50,2,5,341.616,1106.959341,1800.000124
50,2,5,345.78,825.701133,1800.000719
50,2,5,359.224,1015.098224,1800.000065
50,2,5,385.395,1681.883103,1800.000165
50,2,5,492.49,1209.393119,1800.000095
50,5,5,12026.717,1755.004516,1800.000684
50,5,5,12065.598,965.055185,1800.001477
50,5,5,13016.033,1470.919122,1800.000078
50,5,5,13478.905,1678.827257,1800.000239
50,5,5,13738.226,839.096403,1800.000617
50,5,5,14735.713,656.625332,1800.001055
50,5,5,15204.375,517.185246,1800.000456
50,5,5,15343.291,1786.402346,1800.000669
50,5,5,15430.289,736.628872,1800.000109
50,5,5,15884.272,686.745186,1800.000285
50,10,5,43521.928,1150.35132,1800.000512
50,10,5,46356.816,908.194304,1800.00014
50,10,5,48284.659,444.943412,1800.0002
50,10,5,48897.888,1115.474667,1800.000169
50,10,5,49113.911,1736.719065,1800.001971
50,10,5,50567.574,1553.054121,1800.000896
50,10,5,50829.114,738.724857,1800.000081
50,10,5,50932.669,967.357799,1800.0005
50,10,5,52410.804,1736.612751,1800.002245
50,10,5,52623.676,300.738123,1800.000024
50,20,5,96040.086,9.002066,1800.000668
50,20,5,96202.662,341.608134,1800.000409
50,20,5,97833.898,273.521475,1800.001099
50,20,5,98515.809,1025.170856,1800.00202
50,20,5,98560.464,924.752241,1800.00211
50,20,5,98684.091,1607.611241,1800.00198
50,20,5,98831.443,514.816721,1800.000872
50,20,5,98991.179,698.158685,1800.00622
50,20,5,102107.591,788.488143,1800.000372
50,20,5,102499.477,640.918098,1800.00002
50,2,10,2097.06,791.042841,1800.00038
50,2,10,2330.066,1565.661339,1800.00004
50,2,10,2418.507,1150.990574,1800.000412
50,2,10,2700.215,751.216145,1800.002875
50,2,10,2737.594,1236.627598,1800.000288
50,2,10,2864.687,874.819469,1800.002439
50,2,10,2961.38,1045.167365,1800.002652
50,2,10,3048.545,901.182951,1800.003434
