n,m,k,val,t_sol,t
50,2,5,195.527,1741.923214,1800.000973
50,2,5,196.938,856.144707,1800.00082
50,2,5,221.418,1758.880925,1800.00026
50,2,5,247.592,1508.089558,1800.000014
50,2,5,294.851,1376.748444,1800.000833
50,2,5,294.991,1350.844114,1800.000018
50,2,5,300.053,1127.932632,1800.000664
50,2,5,359.191,930.622865,1800.00073
50,2,5,365.209,1185.750105,1800.000092
50,2,5,452.125,1759.426946,1800.000164
50,5,5,10728.538,615.734161,1800.000463
50,5,5,11341.561,728.097179,1800.000556
50,5,5,11756.003,1761.867408,1800.002117
50,5,5,12766.081,1009.684161,1800.000543
50,5,5,13542.357,867.624037,1800.000676
50,5,5,13804.939,1697.704294,1800.002076
50,5,5,14050.093,337.566511,1800.000036
50,5,5,14497.386,191.83033,1800.00032
50,5,5,15230.927,1350.058808,1800.000076
50,5,5,15751.144,1671.086528,1800.000095
50,10,5,44862.356,560.955622,1800.001147
50,10,5,46246.435,255.979237,1800.00018
50,10,5,46508.99,311.603784,1800.001435
50,10,5,47962.546,429.081611,1800.000857
50,10,5,48418.565,699.029409,1800.000771
50,10,5,49705.077,1509.829222,1800.000427
50,10,5,49915.22,1261.043159,1800.000372
50,10,5,50365.435,567.441337,1800.002664
50,10,5,50715.729,1026.518443,1800.000416
50,10,5,53352.838,481.609746,1800.00193
50,20,5,91911.878,670.558612,1800.000538
50,20,5,94613.563,564.439495,1800.000073
50,20,5,94823.141,1446.796788,1800.001747
50,20,5,96257.27,1181.699737,1800.001973
50,20,5,98090.048,436.659371,1800.000342
50,20,5,99763.061,1718.458189,1800.000231
50,20,5,100421.673,1406.238893,1800.001361
50,20,5,100508.989,691.984011,1800.001472
50,20,5,100725.399,873.437174,1800.000789
50,20,5,101706.787,836.462904,1800.000549
50,2,10,2036.604,757.283511,1800.00169
50,2,10,2124.374,1683.163703,1800.000647
50,2,10,2444.496,1519.596095,1800.002097
50,2,10,2578.405,1351.924202,1800.000232
50,2,10,2684.763,1070.699352,1800.002244
50,2,10,2806.72,1632.552513,1800.000253
50,2,10,2825.873,1576.968946,1800.000048
50,2,10,3089.134,1771.365102,1800.002445
50,2,10,3112.036,1170.395146,1800.003061
50,2,10,3382.574,1569.98044,1800.002217
50,5,10,26784.526,544.856471,1800.000294
50,5,10,27117.158,1776.841337,1800.00148
